Date, Description, Nuts (Quantity), Bolts (Quantity), Supply_Costs (Money), Revenue (Money)
2026/08/01, Start Simulation, 100, 200, $0.00, $0.00
2026/08/01, Order nuts, 150, 200, $100.00, $0.00
2026/08/01, Order bolts, 150, 225, $150.00, $0.00
2026/08/31, Sales of nuts, 75, 225, $150.00, $200.00
2026/08/31, Sales of bolts, 75, 175, $150.00, $600.00
2026/09/01, Order nuts, 125, 175, $250.00, $600.00
2026/09/01, Order bolts, 125, 200, $300.00, $600.00
2026/09/30, Sales of nuts, 50, 200, $300.00, $800.00
2026/09/30, Sales of bolts, 50, 150, $300.00, $1200.00
2026/10/01, Order nuts, 100, 150, $400.00, $1200.00
2026/10/01, Order bolts, 100, 175, $450.00, $1200.00
2026/10/31, Sales of nuts, 25, 175, $450.00, $1400.00
2026/10/31, Sales of bolts, 25, 125, $450.00, $1800.00
